location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
FS,2020-08-02,23099,791,205,51,0,149187,1709
FS,2020-08-03,23705,606,205,0,0,150264,1077
FS,2020-08-04,24333,628,205,0,0,151222,958
FS,2020-08-05,25232,899,327,122,0,152941,1719
FS,2020-08-06,26123,891,350,23,0,154740,1799
FS,2020-08-07,26877,754,350,0,0,156403,1663
FS,2020-08-08,27742,865,350,0,0,158201,1798
FS,2020-08-09,28370,628,350,0,0,159690,1489
FS,2020-08-10,28909,539,414,64,0,160521,831
FS,2020-08-11,29209,300,414,0,0,161085,564
FS,2020-08-12,29578,369,414,0,0,161893,808
FS,2020-08-13,30049,471,476,62,0,162879,986
FS,2020-08-14,30837,788,496,20,0,164629,1750
FS,2020-08-15,31465,628,513,17,0,165951,1322
FS,2020-08-16,31870,405,519,6,0,167062,1111
FS,2020-08-17,32304,434,524,5,0,167800,738
FS,2020-08-18,32593,289,537,13,0,168521,721
FS,2020-08-19,33163,570,542,5,0,169765,1244
FS,2020-08-20,33665,502,567,25,0,170974,1209
FS,2020-08-21,34136,471,567,0,0,172164,1190
FS,2020-08-22,34621,485,567,0,0,173665,1501
FS,2020-08-23,34980,359,567,0,0,174567,902
FS,2020-08-24,35367,387,567,0,0,175090,523
FS,2020-08-25,35603,236,567,0,0,175816,726
FS,2020-08-26,35980,377,567,0,0,176805,989
FS,2020-08-27,36419,439,567,0,0,177739,934
FS,2020-08-28,36742,323,567,0,0,178443,704
FS,2020-08-29,37157,415,690,123,0,179458,1015
FS,2020-08-30,37557,400,693,3,0,180534,1076
FS,2020-08-31,37888,331,709,16,0,181460,926
FS,2020-09-01,38125,237,716,7,0,182034,574
FS,2020-09-02,38473,348,731,15,0,183081,1047
FS,2020-09-03,38869,396,739,8,0,184082,1001
FS,2020-09-04,39192,323,757,18,0,184996,914
FS,2020-09-05,39486,294,776,19,0,185886,890
FS,2020-09-06,39781,295,785,9,0,186690,804
FS,2020-09-07,39986,205,792,7,0,187120,430
FS,2020-09-08,40154,168,798,6,0,187720,600
FS,2020-09-09,40456,302,806,8,0,188788,1068
FS,2020-09-10,40832,376,810,4,0,189798,1010
FS,2020-09-11,41250,418,812,2,0,190816,1018
FS,2020-09-12,41604,354,817,5,0,191731,915
FS,2020-09-13,41875,271,817,0,0,192502,771
FS,2020-09-14,42120,245,838,21,0,193000,498
FS,2020-09-15,42255,135,838,0,0,193570,570
FS,2020-09-16,42602,347,838,0,0,194600,1030
FS,2020-09-17,43041,439,838,0,0,195698,1098
FS,2020-09-18,43375,334,838,0,0,196683,985
FS,2020-09-19,43776,401,838,0,0,197718,1035
FS,2020-09-20,44037,261,838,0,0,198547,829
FS,2020-09-21,44291,254,838,0,0,198851,304
FS,2020-09-22,44616,325,838,0,0,199656,805
FS,2020-09-23,44943,327,838,0,0,200621,965
FS,2020-09-24,45353,410,838,0,0,201525,904
FS,2020-09-25,45678,325,838,0,0,202258,733
FS,2020-09-26,45877,199,838,0,0,202816,558
FS,2020-09-27,46128,251,838,0,0,203554,738
FS,2020-09-28,46349,221,1016,178,0,203997,443
FS,2020-09-29,46558,209,1021,5,0,204587,590
FS,2020-09-30,46947,389,1028,7,0,205738,1151
FS,2020-10-01,47316,369,1042,14,0,206776,1038
FS,2020-10-02,47676,360,1051,9,0,207791,1015
FS,2020-10-03,48088,412,1059,8,0,208862,1071
FS,2020-10-04,48403,315,1059,0,0,209752,890
FS,2020-10-05,48662,259,1073,14,0,210278,526
FS,2020-10-06,48865,203,1073,0,0,210995,717
FS,2020-10-07,49270,405,1084,11,0,212154,1159
FS,2020-10-08,49683,413,1090,6,0,213194,1040
GP,2020-03-05,0,0,0,0,0,42,42
GP,2020-03-06,0,0,0,0,0,51,9
GP,2020-03-07,1,1,0,0,0,62,11
GP,2020-03-08,1,0,0,0,0,62,0
GP,2020-03-09,1,0,0,0,0,62,0
GP,2020-03-10,1,0,0,0,0,62,0
GP,2020-03-11,5,4,0,0,0,166,104
GP,2020-03-12,6,1,0,0,0,218,52
GP,2020-03-13,10,4,0,0,0,238,20
GP,2020-03-14,17,7,0,0,0,262,24
GP,2020-03-15,24,7,0,0,0,381,119
GP,2020-03-16,31,7,0,0,0,621,240
GP,2020-03-17,45,14,0,0,0,752,131
GP,2020-03-18,61,16,0,0,0,793,41
GP,2020-03-19,76,15,0,0,0,1248,455
GP,2020-03-20,109,33,0,0,0,1663,415
GP,2020-03-21,125,16,0,0,0,1918,255
GP,2020-03-22,132,7,0,0,0,2406,488
GP,2020-03-23,207,76,0,0,0,3310,904
GP,2020-03-24,302,114,0,0,0,4011,701
GP,2020-03-25,319,82,0,0,0,4011,0
GP,2020-03-26,409,169,0,0,0,5287,1276
GP,2020-03-27,409,79,0,0,0,7370,2083
GP,2020-03-28,533,241,0,0,0,8255,885
GP,2020-03-29,584,151,0,0,0,9192,937
GP,2020-03-30,618,130,0,0,0,9919,727
GP,2020-03-31,633,105,1,1,0,10607,688
GP,2020-04-01,645,102,1,0,0,11438,831
GP,2020-04-02,663,112,1,0,0,12386,948
GP,2020-04-03,672,103,1,0,0,13005,619
GP,2020-04-04,693,84,1,0,0,13928,923
GP,2020-04-05,704,88,1,0,0,14686,758
GP,2020-04-06,713,86,1,0,0,15002,316
GP,2020-04-07,713,77,1,0,0,15002,0
GP,2020-04-08,782,80,3,2,0,16468,1466
GP,2020-04-09,795,24,3,0,0,17784,1316
GP,2020-04-10,801,16,3,0,0,18857,1073
GP,2020-04-11,813,22,3,0,0,19380,523
